País,Prato,Restaurante,Bairro,Nota Maps,Instagram,,,Observações
🇲🇽 México,Burritos,Taquería La Sabrosa,Pinheiros,"4,3",https://www.instagram.com/taquerialasabrosa/,,,
🇿🇦 África do Sul,Frango de curry,Manden Baobá,Vila Mariana,"4,9",https://www.instagram.com/restaurantemandenbaoba/,,,Embora seja a moda angolana
🇰🇷 Coreia do Sul,Bibimbap,Moah Restaurante,Aclimação,"4,7",https://www.instagram.com/moahrestaurante/,,,
🇨🇿 República Tcheca,Goulash tcheco,Elek Restaurante,Ipiranga,"4,6",https://www.instagram.com/elekrestaurante/,,,"Restaurante húngaro, mas serve a versão tcheca"
🇨🇦 Canadá,Poutine,Trago Bar,Barra Funda,"4,5",https://www.instagram.com/trago_bar/,,,"Não é canadense, mas serve um petisco do país como entrada"
🇧🇦 Bósnia e Herzegovina,Bureka de carne,Casa Bulgara,Bom Retiro,—,https://www.instagram.com/casabulgara/,,,
🇶🇦 Catar,Michuí de Cordeiro,Arábia,Jardins,"4,4",https://www.instagram.com/restaurantearabia/,,,
🇨🇭 Suíça,Fondue de queijos,Florina,Campo Belo,"4,5",https://www.instagram.com/florinacozinhasuica/,,,
🇧🇷 Brasil,Feijoada,Boteção do 13,Bixiga,—,https://www.instagram.com/botecao13/,,,
🇲🇦 Marrocos,Kibe assado com nozes,Casa Baruk,Higienópolis,"4,5",https://www.instagram.com/casabaruk/,,,
🇭🇹 Haiti,Patacón Montado,Urbanika,Vila Mariana,"4,6",https://www.instagram.com/urbanikasp/,,,
🏴󠁧󠁢󠁳󠁣󠁴󠁿 Escócia,Whiskeys escoceses,The Blue Pub,Bela Vista,"4,4",https://www.instagram.com/thebluepub/,,,"Não encontrei o Haggis, mas tem muita bebida escocesa tbm"
🇺🇸 Estados Unidos,Brisket,Low BBQ,Pinheiros,"4,5",https://www.instagram.com/lowbbqbar/,,,
🇵🇾 Paraguai,Sopa paraguaia,Karurenda,Bom Retiro,—,https://www.instagram.com/karurendaparaguay/,,,
🇦🇺 Austrália,Mouse Trap (vegemite),Kia Ora,Itaim,"4,4",https://www.instagram.com/kiaorapub/,,,
🇹🇷 Turquia,Ali Nazik,Casa Turca,Santo Amaro,"4,7",https://www.instagram.com/casaturcasp/,,,
🇩🇪 Alemanha,Sanduíche de schnitzel,Kraut Bar,Vila Buarque,"4,4",https://www.instagram.com/krautbar/,,,
🇨🇼 Curaçao,Pescado caribenho,Urbanika,Vila Mariana,"4,6",https://www.instagram.com/urbanikasp/,,,
🇨🇮 Costa do Marfim,Attiéké,Mama Africa Labonne,Pinheiros,"4,9",https://www.instagram.com/mamaafrica_labonnebouffe/,,,
🇪🇨 Equador,Ceviche equatoriano,Suri Ceviche Bar,Pinheiros,"4,5",https://www.instagram.com/suricevichebar/,,,
🇳🇱 Holanda,Bitterballen (croquete),Só Shots,Itaim Bibi,—,https://www.instagram.com/soshots.ginclub/,,,
🇯🇵 Japão,Karê,Isakaya Donchan,Jardins,"4,7",https://www.instagram.com/izakayadonchan/,,,
🇸🇪 Suécia,Salmão curado ,O Escandinavo,Pinheiros,"4,8",https://www.instagram.com/o.escandinavo/,,,
🇹🇳 Tunísia,Cuscuz tunisiano,Barcha food,Vila Gea,"4,8",https://www.instagram.com/barchafoodtunisia/,,,
🇧🇪 Bélgica,Moules and fries,ICI Brasserie,Jardins,"4,4",https://www.instagram.com/icibrasserie/,,,
🇪🇬 Egito,Fatte,Tenda do Nilo,Paraíso,"4,5",https://www.instagram.com/tenda_do_nilo/,,,Líbanes mas serve o prato egípcio
🇮🇷 Irã,Shawarma,Sabor da Pérsia,Luz,"4,6",https://www.instagram.com/sabordapersia/,,,
🇳🇿 Nova Zelândia,Mouse Trap (vegemite),Kia Ora,Itaim,"4,4",https://www.instagram.com/kiaorapub/,,,
🇪🇸 Espanha,Paella,La Alhambra,Vila Mariana,"4,6",https://www.instagram.com/laalhambrarestaurante/,,,
🇨🇻 Cabo Verde,Peixe grelhado,Mama Africa Labonne,Pinheiros,"4,9",https://www.instagram.com/mamaafrica_labonnebouffe/,,,
🇸🇦 Arábia Saudita,Arroz com Carneiro,Halim,Paraíso,"4,4",https://www.instagram.com/restaurantehalim/,,,
🇺🇾 Uruguai,Chivito,Balcón,Vila Mariana,"4,6",https://www.instagram.com/balcon.br/,,,
🇫🇷 França,Ratatouille,Petit Pain & Cia,Bela Vista,"4,6",https://www.instagram.com/petit_pain_cia/,,,
🇸🇳 Senegal,Mafé ,Biyou'Z,República,"4,6",https://www.instagram.com/biyouzgastronomiaafricana/,,,
🇮🇶 Iraque,Kafta de cordeiro,Suméria Restaurante,Bela vista,"4,7",https://www.instagram.com/restaurantesumeria/,,,
🇳🇴 Noruega,Sanduíche de salmão,Svanen,Campo Belo,"4,7",https://www.instagram.com/svanenbr,,,
🇦🇷 Argentina,Bife Ancho,El Bodegon,Barra Funda,—,https://www.instagram.com/elbodegonbarrafunda/,,,
🇩🇿 Argélia,Merguez (Linguiça Argelina),Pita,Pinheiros,"4,4",https://www.instagram.com/pitakebab.sp/,,,
🇦🇹 Áustria,Schnitzel de Frango,Shoshana,Bom Retiro,"4,5",https://www.instagram.com/shoshana_delishop/,,,
🇯🇴 Jordânia,Porção de Falafel,Al Janiah,Bela Vista,"4,5",https://www.instagram.com/aljaniah_oficial/,,,Palestino mas serve J
🇵🇹 Portugal,Bolinho de bacalhau,Casa Santos Restaurante,Pari,"4,5",https://www.instagram.com/casasantosrestaurante/,,,
🇨🇩 RD do Congo,Sambusa,Congolinária,Perdizes,"4,4",https://www.instagram.com/congolinaria/,,,
🇺🇿 Uzbequistão,Plov,Shoshana,Bom Retiro,"4,5",https://www.instagram.com/shoshana_delishop/,,,"Serve o plov no PF, como o ""prato de uma panela só"" que define a Ásia Central. Ele é a alma da culinária do Usbequistão"
🇨🇴 Colômbia,Arepas,Macondo,Pinheiros,—,https://www.instagram.com/macondo_raizes_colombianas/,,,
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Inglaterra,Fish and chips,London Coffee Station,Vila Mariana,"4,4",https://www.instagram.com/londoncoffeestation/,,,
🇭🇷 Croácia,Crni rižot (Risoto Negro),Nou,Pinheiros,"4,5",https://www.instagram.com/nourestaurante/,,,Restautante contemporâneo com prato similar
🇬🇭 Gana,Jollof Rice,Mama Africa Labonne,Tatuapé,"4,9",https://www.instagram.com/mamaafrica_labonnebouffe/,,,
🇵🇦 Panamá,Ropa Vieja,Patacón SP,Vila Clementino,—,https://www.instagram.com/patacon.sp/,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Só selecionar tudo e colar direto na coluna da planilha! 😊,,,,